,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
108,Vulcan,100,CA,1562984267,49,50.4,-113.26,75.0,9.46
109,Touros,75,BR,1562984267,100,-5.2,-35.46,73.4,2.24
110,Lagos,20,NG,1562984230,94,6.46,3.39,75.2,5.03
111,Luderitz,0,NA,1562984267,81,-26.65,15.16,51.8,6.93
112,Mar del Plata,99,AR,1562984267,67,-46.43,-67.52,41.66,6.06
113,Usolye,100,RU,1562984268,100,59.42,56.68,59.0,5.01
114,Khatanga,90,RU,1562984268,74,71.98,102.47,51.56,10.0
115,Santiago del Estero,95,AR,1562984160,71,-27.8,-64.26,60.02,6.98
116,Panama City,75,US,1562984181,94,30.16,-85.65,75.2,9.17
117,Teknaf,100,BD,1562984268,81,20.86,92.31,84.68,20.51
118,Faya,5,SA,1562984268,55,18.39,42.45,78.8,3.53
119,Bilma,0,NE,1562984269,33,18.69,12.92,88.28,9.57
120,Davila,20,PH,1562984269,74,18.47,120.58,86.0,6.93
121,Kavieng,100,PG,1562984269,86,-2.57,150.8,78.02,6.33
122,Zeya,99,RU,1562984269,39,53.74,127.27,78.92,4.27
123,Tura,100,RU,1562984270,63,64.27,100.22,69.74,12.01
124,Bourail,100,NC,1562984270,47,-21.57,165.5,73.16,5.97
125,Shirokiy,84,RU,1562984270,94,53.87,39.17,53.01,8.12
126,Margate,75,AU,1562984270,75,-43.03,147.26,45.0,12.75
127,Malanville,100,NE,1562984270,81,11.86,3.39,76.58,5.86
128,Castro,90,CL,1562984271,93,-42.48,-73.76,46.4,14.99
129,Brae,100,GB,1562984271,93,60.4,-1.35,51.8,4.7
130,Acapulco,75,MX,1562984271,70,16.86,-99.88,86.0,3.36
131,Ahipara,100,NZ,1562984271,86,-35.17,173.16,60.74,19.19
132,Uddevalla,73,SE,1562984272,87,58.35,11.94,55.99,3.36
133,Upington,0,ZA,1562984272,39,-28.46,21.24,48.2,5.82
134,Ucluelet,75,CA,1562984237,72,48.94,-125.55,73.99,8.05
135,Mount Gambier,75,AU,1562984272,76,-37.83,140.78,50.0,18.34
136,Geraldton,75,CA,1562984272,68,49.72,-86.95,68.0,10.29
137,Lagoa,20,PT,1562984272,94,37.14,-8.45,68.0,1.12
138,Longyearbyen,75,NO,1562984273,87,78.22,15.63,42.8,13.87
139,Sioux Lookout,75,CA,1562984273,77,50.1,-91.92,66.2,5.82
140,Calama,0,CL,1562984273,13,-22.46,-68.93,53.6,5.82
141,Nushki,0,PK,1562984273,33,29.55,66.02,91.7,11.45
142,Fortuna,90,US,1562984273,87,40.6,-124.16,64.4,11.41
143,Haines Junction,100,CA,1562984274,54,60.75,-137.51,59.84,9.78
144,Harper,1,US,1562984274,47,30.3,-99.24,84.2,3.36
145,Cabo San Lucas,5,MX,1562984263,61,22.89,-109.91,86.0,3.36
146,Kankon,90,IN,1562984042,100,15.02,74.02,77.0,3.36
147,Brownwood,1,US,1562984220,42,31.71,-98.99,84.2,6.93
148,Maldonado,90,UY,1562984168,93,-34.91,-54.96,53.6,8.05
149,Ayagoz,0,KZ,1562984275,57,47.96,80.43,67.94,21.92
150,Sola,98,TZ,1562984275,69,-3.17,33.8,68.66,1.48
151,Otradnoye,83,RU,1562984275,87,59.77,30.8,53.01,2.64
152,Taft,100,PH,1562984275,89,11.9,125.42,79.1,1.54
153,Kingsport,40,US,1562984275,78,36.55,-82.56,77.0,1.83
154,Chicama,33,PE,1562984227,90,-7.84,-79.15,62.54,16.2
155,Malibu,90,MX,1562984276,94,16.77,-93.16,71.6,13.87
156,Airai,80,TL,1562984276,47,-8.93,125.41,81.26,3.13
157,Ankang,1,CN,1562984276,56,32.73,108.99,80.9,3.58
158,Muros,0,ES,1562984276,77,42.77,-9.06,71.6,2.24
159,Esperance,90,AU,1562984276,93,-33.86,121.89,53.6,3.36
160,Rocha,97,UY,1562984126,95,-34.48,-54.34,52.28,11.21
161,Sosnovka,1,RU,1562984277,82,53.23,41.37,57.32,1.88
162,Waipawa,0,NZ,1562984277,73,-39.94,176.59,55.99,7.0
163,Alta Floresta,0,BR,1562984277,83,-9.87,-56.08,73.4,1.12
164,Antofagasta,90,CL,1562984071,76,-23.65,-70.4,55.4,13.87
165,East London,2,ZA,1562984277,88,-33.02,27.91,54.26,7.87
166,Zacualpan,90,MX,1562984234,100,21.25,-105.17,79.0,6.93
167,Tumbi,100,NG,1562984278,94,7.5,4.3,69.92,2.04
168,Itarema,0,BR,1562984278,89,-2.92,-39.92,73.16,5.66
169,Zlobin,20,HR,1562984278,82,45.29,14.65,73.99,1.74
170,Chokurdakh,100,RU,1562984278,74,70.62,147.9,53.9,12.68
171,Sigli,95,ID,1562984014,67,5.38,95.96,83.96,2.57
172,Skjervoy,67,NO,1562984279,84,70.03,20.97,48.86,1.77
173,Avarua,43,CK,1562984193,73,-21.21,-159.78,73.4,5.82
174,Belton,1,US,1562984279,61,31.06,-97.46,84.99,4.7
175,Hay River,75,CA,1562984280,59,60.82,-115.79,60.8,8.05
176,Verkhnevilyuysk,69,RU,1562984280,56,63.45,120.31,79.46,4.56
177,Souillac,0,FR,1562984280,93,45.6,-0.6,66.99,3.36
178,Acajutla,68,SV,1562984280,74,13.59,-89.83,84.14,1.61
179,Te Anau,100,NZ,1562984280,94,-45.41,167.72,45.98,3.49
180,Cockburn Town,0,TC,1562984281,79,21.46,-71.14,82.16,18.88
181,Saint George,75,GR,1562984281,93,39.45,22.34,69.8,0.92
182,Launceston,90,AU,1562984205,53,-41.43,147.14,52.0,8.05
183,Kiama,0,AU,1562984281,37,-34.67,150.86,55.99,21.92
184,Atikokan,6,CA,1562984281,79,48.76,-91.62,58.76,3.65
185,Lavrentiya,100,RU,1562984282,36,65.58,-170.99,72.08,5.21
186,Blumberg,75,DE,1562984282,93,47.84,8.53,60.01,4.7
187,Sobolevo,0,RU,1562984282,84,54.43,31.9,44.0,4.23
188,Dzhebariki-Khaya,100,RU,1562984282,34,62.22,135.8,84.86,4.38
189,College,75,US,1562984282,100,64.86,-147.8,64.4,4.7
190,Nishihara,75,JP,1562984283,88,35.74,139.53,84.0,4.7
191,Narsaq,75,GL,1562984283,71,60.91,-46.05,50.0,4.7
192,Port Hardy,90,CA,1562984283,82,50.7,-127.42,62.6,5.82
193,Nuuk,75,GL,1562984283,81,64.17,-51.74,44.6,17.22
194,Kyren,100,RU,1562984283,91,51.68,102.13,52.46,3.2
195,Katsuura,75,JP,1562984284,88,33.93,134.5,80.01,5.82
196,Umm Kaddadah,2,SD,1562984284,61,13.6,26.69,78.38,8.99
197,Hobyo,67,SO,1562984284,73,5.35,48.53,77.48,17.67
198,Lompoc,1,US,1562984284,72,34.64,-120.46,73.99,9.17
199,Wilkie,1,CA,1562984285,41,52.41,-108.71,77.0,13.87
200,Saint-Augustin,75,CA,1562984285,82,45.63,-73.98,72.0,4.7
201,Sulayman,0,IQ,1562984285,15,31.4,46.29,90.62,12.82
202,Phuthaditjhaba,0,ZA,1562984285,52,-28.53,28.82,39.32,0.49
203,Sabang,91,PH,1562984285,59,13.8,121.11,88.82,1.66
204,Kosh-Agach,3,RU,1562984286,62,49.99,88.66,55.34,2.37
205,Novobelokatay,0,RU,1562984286,63,55.7,58.96,71.9,15.59
206,Firovo,92,RU,1562984286,80,57.48,33.7,45.62,4.29
207,Mizdah,0,LY,1562984286,68,31.45,12.98,72.62,4.0
208,Guerrero Negro,0,MX,1562984286,83,27.97,-114.04,67.04,16.64
209,Shahrud,14,IR,1562984287,36,36.42,54.97,67.04,6.71
210,Esmeraldas,0,BR,1562984287,72,-19.76,-44.31,59.0,1.12
211,Kodiak,1,US,1562984287,61,39.95,-94.76,80.6,8.05
212,Kruisfontein,9,ZA,1562984287,93,-34.0,24.73,50.12,4.47
213,Berlevag,71,NO,1562984288,85,70.86,29.09,44.36,4.83
214,Alihe,97,CN,1562984288,40,50.57,123.73,80.54,5.93
215,Maragogi,37,BR,1562984191,93,-9.01,-35.22,69.02,3.15
216,Pisco,90,PE,1562984288,82,-13.71,-76.2,63.0,6.93
217,Smithers,75,CA,1562984100,82,54.78,-127.17,62.6,4.7
218,Pamekasan,6,ID,1562984289,48,-7.16,113.47,85.04,10.33
219,Kangaatsiaq,100,GL,1562984289,89,68.31,-53.46,42.92,9.22
220,Hambantota,40,LK,1562984289,100,6.12,81.12,78.8,3.36
221,Port Blair,37,IN,1562984184,76,11.67,92.75,83.42,14.74
222,Lubango,4,AO,1562984289,54,-14.92,13.49,58.94,3.36
223,Payette,1,US,1562984290,23,44.08,-116.93,97.0,20.15
224,Salalah,90,OM,1562984290,100,17.01,54.1,78.8,5.82
225,Port Lincoln,58,AU,1562984290,62,-34.72,135.86,54.26,21.74
226,Baherden,66,TM,1562984290,25,38.44,57.43,86.84,8.25
227,Hami,0,CN,1562984290,25,42.84,93.51,84.68,10.4
228,ChengDe,0,CN,1562984291,29,40.97,117.93,86.12,6.11
229,Nemuro,75,JP,1562984048,93,43.32,145.57,62.6,3.36
230,Muisne,85,EC,1562984291,82,0.61,-80.02,75.14,11.48
231,Grand Forks,75,US,1562984291,73,47.91,-97.06,75.2,4.7
232,Joao Pinheiro,0,BR,1562984291,56,-17.74,-46.17,61.82,3.87
233,Bambous Virieux,20,MU,1562984292,77,-20.34,57.76,64.99,4.7
234,Namibe,1,AO,1562984292,85,-15.19,12.15,64.7,1.16
235,Buraydah,0,SA,1562984292,30,26.33,43.97,80.6,6.93
236,Kastamonu,0,TR,1562984292,95,41.38,33.78,45.26,2.53
237,Nakambala,0,ZM,1562984293,64,-15.83,27.78,45.98,4.97
238,Meulaboh,64,ID,1562984293,77,4.14,96.13,81.8,6.38
239,Syamzha,0,RU,1562984293,79,60.02,41.06,46.88,3.89
240,Portree,83,GB,1562984293,95,57.41,-6.19,55.0,4.0
241,Thompson,40,CA,1562984293,38,55.74,-97.86,75.2,12.75
242,Salym,76,RU,1562984294,58,60.06,71.48,74.96,4.74
243,Palana,0,RU,1562984294,80,59.08,159.95,54.98,4.72
244,Umba,44,RU,1562984294,84,66.69,34.34,46.7,5.01
245,Magaria,70,NE,1562984294,59,13.0,8.91,81.44,5.5
246,Sur,0,OM,1562984294,51,22.57,59.53,86.66,13.51
247,Key Biscayne,75,US,1562984032,83,25.69,-80.16,84.99,5.82
248,Belomorsk,60,RU,1562984295,92,64.52,34.76,46.34,6.26
249,Mehran,0,IR,1562984295,25,33.12,46.17,73.4,4.7
250,Okitipupa,100,NG,1562984295,98,6.5,4.78,70.28,1.88
251,Valparaiso,1,US,1562984295,60,41.47,-87.06,82.0,5.82
252,Yumen,100,CN,1562984296,56,40.29,97.04,67.94,1.23
253,Koumac,47,NC,1562984296,74,-20.56,164.28,71.54,6.64
254,Jabinyanah,0,TN,1562984296,78,35.03,10.91,77.0,3.29
255,Natal,75,BR,1562984296,100,-5.81,-35.21,73.4,2.24
256,Auki,85,NG,1562984297,69,12.18,6.51,75.32,6.58
257,Tual,69,ID,1562984297,78,-5.67,132.75,77.48,21.03
258,Moramanga,41,MG,1562984297,96,-18.95,48.23,50.48,2.24
259,Lorengau,100,PG,1562984297,72,-2.02,147.27,80.54,11.05
260,Muroto,75,JP,1562984298,78,33.37,134.14,77.0,3.36
261,Steamboat Springs,1,US,1562984256,31,40.48,-106.83,84.2,6.08
262,San Cristobal,13,HN,1562984298,82,14.68,-86.92,68.12,7.34
263,Caravelas,0,BR,1562984298,80,-17.73,-39.27,69.02,5.21
264,Clyde River,90,CA,1562984298,87,70.47,-68.59,42.8,6.93
265,Bedele,100,ET,1562984298,99,8.46,36.35,55.34,1.32
266,Chara,75,GR,1562984299,93,39.42,22.43,69.8,0.92
267,Yeniseysk,71,RU,1562984299,37,58.45,92.17,76.76,2.39
268,Suphan Buri,100,TH,1562984299,71,14.47,100.12,87.01,4.0
269,Constitucion,90,MX,1562984299,72,23.99,-104.67,64.4,14.99
270,Westport,1,US,1562984299,64,41.14,-73.36,79.0,10.29
271,Mount Isa,15,AU,1562984300,34,-20.73,139.49,68.0,18.34
272,Shingu,75,JP,1562984300,65,33.72,135.99,78.8,2.24
273,Bend,1,US,1562984132,37,44.06,-121.32,82.4,19.46
274,Yarim,38,YE,1562984300,59,14.3,44.38,71.54,2.68
275,Nueva Guinea,100,NI,1562984300,96,11.69,-84.46,72.62,4.76
276,Aswan,0,EG,1562984300,15,24.09,32.9,87.8,1.12
277,Alyangula,58,AU,1562984301,50,-13.85,136.42,78.8,12.75
278,Pangnirtung,92,CA,1562984301,86,66.15,-65.72,42.92,1.16
279,Pevek,100,RU,1562984301,97,69.7,170.27,38.96,8.79
280,Omsukchan,100,RU,1562984301,37,62.53,155.8,75.32,1.86
281,Ostrovnoy,100,RU,1562984301,71,68.05,39.51,45.08,0.74
282,Carnarvon,0,ZA,1562984096,29,-30.97,22.13,50.84,8.59
283,Boden,0,SE,1562984302,58,65.83,21.69,53.6,4.7
284,Dhidhdhoo,81,MV,1562984302,71,6.88,73.1,83.42,6.71
285,Tiksi,79,RU,1562984302,53,71.64,128.87,51.56,9.71
286,Paamiut,100,GL,1562984302,92,61.99,-49.67,41.66,13.65
287,Naze,94,NG,1562984302,94,5.43,7.07,72.62,0.69
288,Coxim,0,BR,1562984303,40,-18.5,-54.75,69.2,3.36
289,Kyzyl-Suu,100,KG,1562984303,55,42.34,78.0,67.4,7.2
290,Egvekinot,86,RU,1562984303,31,66.32,-179.17,78.56,4.21
291,Robertsport,100,LR,1562984303,90,6.75,-11.37,75.5,7.4
292,Gbarnga,100,LR,1562984303,98,7.0,-9.47,69.56,0.94
293,Synya,100,RU,1562984304,54,65.37,58.04,62.18,5.06
294,Cooma,9,AU,1562984304,52,-36.24,149.13,41.0,20.8
295,Mollendo,100,PE,1562984304,84,-17.03,-72.02,60.92,12.48
296,Aitape,53,PG,1562984304,65,-3.15,142.36,84.68,8.86
297,Maltahohe,0,NA,1562984304,56,-24.83,16.98,43.82,1.81
298,Karratha,0,AU,1562984081,13,-20.74,116.85,81.08,23.47
299,Ponta Delgada,20,PT,1562984305,82,37.73,-25.67,66.2,4.7
300,Ekuvukeni,68,ZA,1562984305,89,-28.47,30.16,48.14,2.91
301,Kautokeino,100,NO,1562984305,67,69.01,23.04,45.62,2.68
302,Banikoara,100,BJ,1562984305,90,11.3,2.44,74.06,1.97
303,Am Timan,100,TD,1562984306,91,11.04,20.28,72.8,3.51
304,Sterlibashevo,100,RU,1562984306,72,53.44,55.26,69.56,6.6
305,Vostok,100,RU,1562984306,80,46.45,135.83,63.62,1.9
306,Santa Rosa,0,AR,1562984306,52,-36.62,-64.29,44.9,4.61
307,Wewak,100,PG,1562984306,70,-3.55,143.63,83.42,2.8
308,Zhigalovo,86,RU,1562984307,32,54.81,105.15,74.42,3.91
309,Killybegs,100,IE,1562984307,88,54.63,-8.45,55.0,10.49
310,Santo Antonio do Ica,73,BR,1562984307,98,-3.1,-67.94,72.08,1.79
311,Namwala,0,ZM,1562984307,66,-15.75,26.45,41.84,3.02
312,Hasaki,75,JP,1562984307,78,35.73,140.83,81.0,3.36
313,San Patricio,52,PY,1562984308,75,-26.98,-56.83,66.68,3.94
314,Malatya,0,TR,1562984308,77,38.35,38.32,59.0,4.7
315,Mehamn,100,NO,1562984308,78,71.03,27.85,44.18,5.64
316,Kaabong,100,UG,1562984308,92,3.51,34.14,59.12,3.15
317,Amazar,28,RU,1562984308,41,53.86,120.88,78.2,4.09
318,Arman,7,RU,1562984309,48,59.7,150.17,79.46,6.98
319,Gambela,100,ET,1562984309,84,8.25,34.59,64.52,2.19
320,Goedereede,100,NL,1562984309,93,51.82,3.98,62.01,18.34
321,Majene,10,ID,1562984309,76,-3.54,118.97,80.72,25.9
322,Monrovia,75,LR,1562984309,100,6.33,-10.8,75.2,9.4
323,Asosa,100,ET,1562984310,82,10.07,34.53,63.44,2.68
324,Buala,100,SB,1562984310,73,-8.15,159.59,83.06,9.04
325,Bonthe,100,SL,1562984310,90,7.53,-12.5,75.32,6.69
326,Luwuk,100,ID,1562984121,95,-0.95,122.79,63.62,6.55
327,Talnakh,75,RU,1562984310,77,69.49,88.39,62.6,20.13
328,Kununurra,0,AU,1562984311,17,-15.77,128.74,80.6,19.46
329,Pringsewu,99,ID,1562984311,82,-5.36,104.98,76.22,4.23
330,Lao Cai,100,VN,1562984311,90,22.48,103.95,70.28,4.83
331,Muzhi,68,RU,1562984311,56,65.4,64.7,61.64,6.76
332,Chacabuco,0,AR,1562984311,86,-34.64,-60.47,47.96,6.96
333,Sorland,0,NO,1562984312,83,67.67,12.69,50.12,23.44
334,Paradise Valley,40,CA,1562984312,60,53.03,-110.3,71.6,6.93
335,Chuy,77,UY,1562984312,94,-33.69,-53.46,54.8,10.56
336,Rio Gallegos,40,AR,1562984312,96,-51.62,-69.22,32.0,2.24
337,Klaksvik,99,FO,1562984313,100,62.23,-6.59,50.0,2.24
338,Ranot,0,TH,1562984313,59,7.78,100.32,88.64,10.56
339,Mocuba,0,MZ,1562984313,95,-16.84,36.99,57.14,1.61
340,Tasiilaq,6,GL,1562984313,81,65.61,-37.64,42.8,4.7
341,Grand Gaube,20,MU,1562984313,77,-20.01,57.66,64.99,4.7
342,Kanye,0,BW,1562984314,25,-24.98,25.34,52.82,11.45
343,Ternate,20,PH,1562984314,70,14.29,120.72,89.01,8.05
344,Forrest City,0,US,1562984314,88,35.01,-90.79,86.0,3.36
345,Brookhaven,1,US,1562984314,60,40.78,-72.92,79.0,5.82
346,Callaway,1,US,1562984314,78,46.98,-95.91,77.0,3.36
347,Sausar,40,IN,1562984315,78,21.65,78.8,82.4,6.93
348,Portland,90,US,1562984082,93,43.66,-70.25,70.0,1.95
349,Trinidad,40,BO,1562984315,83,-14.83,-64.9,78.8,2.1
350,Ekhabi,82,RU,1562984315,76,53.51,142.97,58.58,8.41
351,Severo-Kurilsk,83,RU,1562984315,94,50.68,156.12,44.72,10.76
352,Lawrenceburg,20,US,1562984315,94,35.24,-87.33,81.0,5.82
353,Ovalle,0,CL,1562984316,85,-30.6,-71.2,48.68,5.86
354,Shimanovsk,100,RU,1562984316,71,52.0,127.67,77.84,0.43
355,Grindavik,90,IS,1562984316,93,63.84,-22.43,53.6,5.82
356,Tucurui,41,BR,1562984308,97,-3.77,-49.67,71.72,3.29
357,Barra Patuca,0,HN,1562984316,79,15.8,-84.28,82.52,15.73
358,Celle,90,DE,1562984317,93,52.62,10.08,60.01,2.24
359,Mantua,40,IT,1562984317,88,45.16,10.79,73.4,10.29
360,Khash,0,IR,1562984317,20,28.22,61.21,80.72,3.67
361,Vanimo,57,PG,1562984317,74,-2.67,141.3,81.08,7.23
362,Mae Hong Son,75,MM,1562984317,78,19.3,97.96,77.0,3.8
363,Owando,52,CG,1562984318,95,-0.49,15.91,69.74,2.06
364,Ust-Maya,0,RU,1562984318,35,60.42,134.54,90.26,1.86
365,Pacific Grove,1,US,1562984148,41,36.62,-121.92,82.4,12.75
366,Denpasar,40,ID,1562984318,78,-8.65,115.22,78.8,16.11
367,Caraquet,90,CA,1562984318,100,47.79,-64.94,59.0,3.36
368,Northam,57,AU,1562984319,67,-31.65,116.67,59.0,5.82
369,Abengourou,100,CI,1562984319,99,6.73,-3.5,69.38,3.22
370,Nhulunbuy,75,AU,1562984319,73,-12.18,136.78,77.0,19.46
371,Anzio,0,IT,1562984319,94,41.45,12.63,73.4,4.7
372,Vila Franca do Campo,20,PT,1562984319,82,37.72,-25.43,66.2,4.7
373,Kaitangata,100,NZ,1562984320,62,-46.28,169.85,52.0,3.0
374,Mabaruma,0,GY,1562984320,97,8.2,-59.78,72.26,3.4
375,Nouakchott,0,MR,1562984320,83,18.08,-15.98,77.0,6.93
